trial,response_type,response_time,feedback_time,feedback_type,reaction_time,reaction_type
81,1.0,0.8119056177854418,0.8488515045041822,1.0,350.0,1.0
82,-1.0,1.7214178934005986,1.7214178934005986,-1.0,290.0,1.0
83,0.0,2.246228840269339,2.2824511263975182,1.0,inf,0.0
84,-1.0,0.642424165199543,0.67935720963834,1.0,220.0,-1.0
85,-1.0,0.8038498641490719,0.8038498641490719,-1.0,210.0,-1.0
86,0.0,2.4151310007270013,2.450465948424096,1.0,inf,0.0
87,-1.0,1.1978150378913597,1.1978150378913597,-1.0,1050.0,-1.0
88,0.0,2.2850474540973664,2.320906718763297,1.0,inf,0.0
89,1.0,0.7224766699154088,0.7590993145524862,1.0,550.0,1.0
90,1.0,0.6749246000252924,0.7102968202822808,1.0,180.0,1.0
91,1.0,0.8037167386339661,0.8037167386339661,-1.0,640.0,1.0
92,0.0,2.2886970854027027,2.3247034899056302,1.0,inf,0.0
93,-1.0,0.826332377946585,0.8623703168584598,1.0,240.0,-1.0
94,-1.0,1.1418573448644906,1.1418573448644906,-1.0,80.0,-1.0
95,0.0,2.376176242656868,2.4124877124566524,1.0,inf,0.0
96,-1.0,0.904980574558067,0.9420272474346234,1.0,200.0,-1.0
97,-1.0,0.5659636342797967,0.6019564661817753,1.0,50.0,-1.0
98,-1.0,0.8713589874955687,0.8713589874955687,-1.0,710.0,-1.0
99,0.0,2.402844814264256,2.439046294807099,1.0,inf,0.0
100,-1.0,0.5661369087329149,0.6032882289572967,1.0,220.0,-1.0
101,-1.0,0.7802516317769914,0.8174256935233188,1.0,240.0,-1.0
102,-1.0,0.5588180244243404,0.5588180244243404,-1.0,140.0,-1.0
103,1.0,1.1382182790169963,1.1744150189213656,1.0,10.0,1.0
104,1.0,1.0302223977597578,1.0665838913962489,1.0,360.0,1.0
105,-1.0,0.8308236281405925,0.8308236281405925,-1.0,300.0,-1.0
106,0.0,2.3099847902173565,2.3465375641150104,1.0,inf,0.0
107,-1.0,0.905506435430084,0.905506435430084,-1.0,230.0,-1.0
108,1.0,1.0401560964671717,1.0401560964671717,-1.0,550.0,1.0
109,0.0,2.445555764343794,2.482057039273286,1.0,190.0,-1.0
110,1.0,1.1107741985945268,1.147796817129347,1.0,180.0,-1.0
111,0.0,2.220843828085094,2.2573889158611564,1.0,570.0,-1.0
112,-1.0,0.8237450339011048,0.8237450339011048,-1.0,500.0,-1.0
113,0.0,2.49022012755836,2.5266425775307653,1.0,inf,0.0
114,-1.0,0.5632123737716483,0.6001066462250719,1.0,370.0,-1.0
115,-1.0,0.66493414935087,0.7029465938142039,1.0,330.0,-1.0
116,-1.0,0.7499916902236237,0.7886760124079046,1.0,280.0,-1.0
117,-1.0,0.754973784146955,0.7915327003787525,1.0,150.0,-1.0
118,-1.0,0.6355559756241291,0.673512032861936,1.0,240.0,-1.0
119,-1.0,0.7033277274813372,0.7396511535204127,1.0,240.0,-1.0
120,1.0,0.9397052016105364,0.977384590549036,1.0,360.0,1.0
121,-1.0,1.0615177598949683,1.0994276524581892,1.0,840.0,-1.0
122,-1.0,1.1891754640067802,1.1891754640067802,-1.0,210.0,-1.0
123,1.0,1.1748241717348265,1.211691137629714,1.0,200.0,-1.0
124,1.0,0.9632101555970394,0.9999430991749704,1.0,600.0,1.0
125,1.0,1.1127587044860547,1.1509711687126585,1.0,250.0,-1.0
126,1.0,0.9247414113276592,0.9247414113276592,-1.0,660.0,1.0
127,0.0,2.429418597977019,2.4662181091680395,1.0,inf,0.0
128,-1.0,0.6750492730924407,0.7124599534420213,1.0,360.0,-1.0
129,1.0,0.9901489024460944,1.0278025239921362,1.0,870.0,1.0
130,-1.0,0.6935190036497261,0.7310515607430261,1.0,340.0,-1.0
131,-1.0,0.914788694597746,0.9519838317878566,1.0,250.0,-1.0
132,1.0,0.7107667568536726,0.7478858822768188,1.0,360.0,-1.0
133,-1.0,0.9674128162027956,1.0044444131985983,1.0,650.0,-1.0
134,-1.0,0.6242677776075425,0.662444554723379,1.0,230.0,-1.0
135,-1.0,0.856847703205176,0.856847703205176,-1.0,430.0,-1.0
