trial,contrast_left,contrast_right,gocue_time
1,100,50,0.597817378687111
2,0,0,0.7280513461328297
3,0,0,0.4174423980106141
4,0,0,0.6832469067443512
5,0,0,0.4181731578619292
6,0,0,0.4274593582631496
7,25,50,0.493014289230274
8,50,0,0.6476466186581433
9,25,50,0.507532710102538
10,25,0,0.4924513422305097
11,0,0,0.5719102497809132
12,0,0,0.7125391240220154
13,0,0,0.722368973320684
14,0,0,0.7023595860556213
15,0,0,0.7922082812754354
16,50,100,0.6475472272096425
17,25,50,0.7378063396986789
18,0,25,0.6816357590737141
19,100,0,0.5229193148331461
20,50,100,0.5373788469522083
21,100,25,0.4218197005725415
22,50,100,0.7721211647158839
23,0,25,0.7775349962208509
24,0,0,0.5875328716347212
25,0,0,0.5026200609901252
26,0,0,0.7071553551291458
27,0,0,0.7527924776565555
28,100,50,0.6622910878535038
29,0,100,0.7070084001728674
30,50,100,0.7725926591894563
31,0,25,0.5372096673777662
32,50,25,0.4527151986533511
33,0,0,0.6278051819691939
34,0,0,0.6572463140383888
35,0,0,0.7971828413054141
36,0,0,0.5522770414729621
37,0,0,0.6720820869762747
38,0,0,0.6422567067063767
39,0,0,0.7123171246730067
40,0,0,0.4123766022927952
41,50,25,0.4624517571344597
42,100,0,0.47194532405382
43,50,50,0.4623595159710021
44,25,100,0.4165696217123695
45,100,50,0.7270215762807766
46,0,0,0.5971989212237077
47,50,0,0.4322957147108468
48,0,0,0.4626579804229891
49,0,0,0.4973551136908725
50,100,0,0.6324467303046504
51,0,0,0.7471846196239085
52,0,0,0.5273714161609178
53,50,100,0.4122950063084545
54,50,25,0.4774098827591047
55,0,50,0.6970074226584302
56,50,25,0.6871084754869798
57,0,0,0.6074104792160142
58,50,100,0.6372618941615542
59,0,0,0.6621197218971702
60,0,0,0.6613970466361252
61,0,0,0.4725580096745148
62,0,0,0.5724002758724396
63,100,25,0.6178654860496522
64,0,0,0.7119393466080055
65,0,0,0.5972486087752031
66,100,100,0.5077219630694572
67,0,0,0.4570408867443234
68,0,0,0.787257369609506
69,25,100,0.7472162702301262
70,25,50,0.516967513370389
71,25,50,0.6168991649905706
72,0,0,0.4471232057406382
73,0,0,0.5415847872641848
74,50,0,0.4170831968148718
75,50,100,0.5817589743059557
76,50,25,0.6768289723107728
