trial,contrast_left,contrast_right,gocue_time
304,0,100,
305,100,100,
306,100,100,
307,100,100,
308,0,100,
309,0,25,
310,0,100,
311,100,0,
312,0,50,
313,0,100,
314,0,100,
315,100,50,
316,100,0,
317,0,100,
318,100,50,
319,100,25,
320,0,100,
321,0,100,
322,0,100,
323,0,50,
324,0,100,
325,0,100,
326,0,100,
327,100,25,
328,0,100,
329,0,100,
330,100,100,
331,0,100,
332,0,100,
333,0,100,
334,0,100,
335,0,100,
336,0,100,
337,0,25,
338,0,100,
339,100,25,
340,0,50,
341,0,100,
342,0,25,
343,100,0,
344,100,100,
345,100,50,
346,0,100,
347,100,25,
348,0,100,
349,100,100,
350,100,25,
351,100,50,
352,0,100,
353,0,50,
354,100,50,
355,100,25,
356,0,50,
357,0,100,
358,100,25,
359,0,100,
360,0,100,
361,0,100,
362,0,100,
